query_index,query,answer,category,gold_context_min,query_user
1,When did Caroline go to the LGBTQ support group?,7-May-23,2,I went to a LGBTQ support group yesterday and it was so powerful.,"Caroline,Melanie"
2,When did Melanie paint a sunrise?,2022,2,"You'd be a great counselor! Your empathy and understanding will really help the people you work with. By the way, take a look at this.","Caroline,Melanie"
3,What fields would Caroline be likely to pursue in her educaton?,"Psychology, counseling certification",3,"Gonna continue my edu and check out career options, which is pretty exciting! + I'm keen on counseling or working in mental health - I'd love to support those with similar issues.","Caroline,Melanie"
4,What did Caroline research?,Adoption agencies,1,Researching adoption agencies — it's been a dream to have a family and give a loving home to kids who need it.,"Caroline,Melanie"
5,What is Caroline's identity?,Transgender woman,1,The transgender stories were so inspiring! I was so happy and thankful for all the support.,"Caroline,Melanie"
6,When did Melanie run a charity race?,The sunday before 25 May 2023,2,"Hey Caroline, since we last chatted, I've had a lot of things happening to me. I ran a charity race for mental health last Saturday – it was really rewarding. Really made me think about taking care of our minds.","Caroline,Melanie"
7,When is Melanie planning on going camping?,Jun-23,2,"Thanks, Caroline. It's still a work in progress, but I'm doing my best. My kids are so excited about summer break! We're thinking about going camping next month. Any fun plans for the summer?","Caroline,Melanie"
8,What is Caroline's relationship status?,Single,1,"Yeah, I'm really lucky to have them. They've been there through everything, I've known these friends for 4 years, since I moved from my home country. Their love and help have been so important especially after that tough breakup. I'm super thankful. Who supports you, Mel? + I'm thrilled to make a family for kids who need one. It'll be tough as a single parent, but I'm up for the challenge!","Caroline,Melanie"
9,When did Caroline give a speech at a school?,The week before 9 June 2023,2,Hey Melanie! How's it going? I wanted to tell you about my school event last week. It was awesome! I talked about my transgender journey and encouraged students to get involved in the LGBTQ community. It was great to see their reactions. It made me reflect on how far I've come since I started transitioning three years ago.,"Caroline,Melanie"
10,"When did Caroline meet up with her friends, family, and mentors?",The week before 9 June 2023,2,"Thanks, Mel! My friends, family and mentors are my rocks – they motivate me and give me the strength to push on. Here's a pic from when we met up last week!","Caroline,Melanie"
11,How long has Caroline had her current group of friends for?,4 years,2,"Yeah, I'm really lucky to have them. They've been there through everything, I've known these friends for 4 years, since I moved from my home country. Their love and help have been so important especially after that tough breakup. I'm super thankful. Who supports you, Mel?","Caroline,Melanie"
12,Where did Caroline move from 4 years ago?,Sweden,1,"Yeah, I'm really lucky to have them. They've been there through everything, I've known these friends for 4 years, since I moved from my home country. Their love and help have been so important especially after that tough breakup. I'm super thankful. Who supports you, Mel? + Thanks, Melanie! This necklace is super special to me - a gift from my grandma in my home country, Sweden. She gave it to me when I was young, and it stands for love, faith and strength. It's like a reminder of my roots and all the love and support I get from my family.","Caroline,Melanie"
13,How long ago was Caroline's 18th birthday?,10 years ago,2,"Yep, Melanie! I've got some other stuff with sentimental value, like my hand-painted bowl. A friend made it for my 18th birthday ten years ago. The pattern and colors are awesome-- it reminds me of art and self-expression.","Caroline,Melanie"
14,What career path has Caroline decided to persue?,counseling or mental health for Transgender people,1,"I'm still figuring out the details, but I'm thinking of working with trans people, helping them accept themselves and supporting their mental health. Last Friday, I went to an LGBTQ+ counseling workshop and it was really enlightening. They talked about different therapeutic methods and how to best work with trans people. Seeing how passionate these pros were about making a safe space for people like me was amazing. + I'm keen on counseling or working in mental health - I'd love to support those with similar issues.","Caroline,Melanie"
15,Would Caroline still want to pursue counseling as a career if she hadn't received support growing up?,Likely no,3,"Thanks, Melanie. It really mattered. My own journey and the support I got made a huge difference. Now I want to help people go through it too. I saw how counseling and support groups improved my life, so I started caring more about mental health and understanding myself. Now I'm passionate about creating a safe, inviting place for people to grow. + Thanks Mel! Your kind words mean a lot. Sharing our experiences isn't always easy, but I feel it's important to help promote understanding and acceptance. I've been blessed with loads of love and support throughout this journey, and I want to pass it on to others. By sharing our stories, we can build a strong, supportive community of hope.","Caroline,Melanie"
